,Marker,province,Latitude,Longitude,Average Length Of Stay,Average Price per Unit of Housing Construction,Average Daily Consumption of Calorie per Capita,Gross Enrollment Ratio for Elementary Schools,Gross Enrollment Ratio for Middle Schools ,Gross Enrollment Ratio for High Schools ,Harvested Area of Soybeans (in Hectares),Illiteracy Rate_Under15,Illiteracy Rate_15to44,Illiteracy Rate_Over45,Democracy Index,Net Enrollment Ratio for Elementary Schools ,Net Enrollment Ratio for Middle Schools ,Net Enrollment Ratio for High Schools ,Number of Civil Servants per Province,Ratio of Females on Regional Council,Number of Skilled Workers in Construction,Number of Villages,Ratio of Households With Working Female Head,Ratio of Married Women Using Contraception ,Ratio of  Poor People in Rural Areas,Ratio of Female Population ,Poverty Severity Index,Production of Paddy By Province (in tons),Production of Maize By Province (in tons),Room Occupancy Rate in Hotels,School Participation Rate Ages 13 to 15,School Participation Rate Ages 16 to 18,School Participation Rate Ages 19 to 24,Wetland Area By Province (in hectares),Prabowo Subianto Votes,Joko Widodo Votes,Votes
1,1,Aceh,4.41533,96.9956,3.54,187,1794.04,111.66,95.87,81.53,42784,2.58,0.43,8.31,72.29,97.8,85.2,69.2,167073,0,6342,6513,61.28,52.09,0.626907816,50.1,0.86,1820062,42.72,50.56,97.38,80.89,32.93,294129,1089290,913309,2002599
2,2,North Sumatra,2.36304,99.2161,2.76,92,1883.81,110.34,90.29,82.96,5024,1.43,0.66,3.19,68.02,96.29,78.33,65.8,247946,0.25,6796,6015,67.85,51.87,0.391931015,50.11,0.45,3631039,57.82,50.59,96.06,75.78,24.82,433043,2831514,3494835,6326349
3,3,West Sumatra,-0.642611,100.611,3.73,83,1901.48,110.89,88.05,80.46,785,1.56,0.43,3.72,63.99,97.92,75.61,66.52,139020,0.25,2990,1145,64.9,53.2,0.465249433,50.3,0.15,2519020,65.02,52.65,95.84,81.97,32.89,225890,1797505,539308,2336813
4,4,Riau,0.396892,101.745,4.21,83,1868.26,109.42,90.79,76.33,2030,1.25,0.48,3.59,68.4,96.42,77.67,62.31,103826,0.75,6286,1835,62.48,56.29,0.589643168,48.63,0.29,385475,23.76,43.42,94.36,75.3,24.48,87594,1349338,1342817,2692155
5,5,Jambi,-1.65497,102.823,7.6,98,1764.53,110.73,87.83,73.63,5288,2.23,0.57,6.34,71.15,97.15,77.34,59.22,81802,0.5,3278,1551,63.69,67.5,0.612557645,48.96,0.23,664720,54.95,46.58,94.88,70.41,22.11,101195,871316,897787,1769103
6,6,South Sumatra,-3.3824,104.073,5.62,269,1887.11,112.01,88.43,72.51,7237,1.86,0.52,5.06,74.82,96.13,75.87,57.92,142938,0.75,163,3257,67.14,66.47,0.536822346,49.18,0.62,3670435,60.11,46.9,93.36,67.84,16.87,616753,2132163,2027049,4159212
7,7,Bengkulu,-3.48606,102.368,3.55,97,1876.48,113.95,88.23,79.49,5375,2.48,0.54,7.2,71.7,98.03,76.44,64.61,62698,0.5,1320,1524,65.57,70.61,0.585294118,48.98,0.75,593194,46.51,48.71,96.71,77.92,28.14,88756,433173,523669,956842
8,8,Lampung,-4.919,105.059,6.62,161,1750.15,112.74,86.76,68.49,11362,3.46,0.42,9.91,71.62,97.98,77.98,57.64,128124,0,2433,2631,60.22,69.36,0.553487392,48.68,0.56,3320064,50.74,57.11,94.01,68.75,18.67,363055,2033924,2299889,4333813
9,9,Bangka-Belitung,-2.95817,106.819,2.43,NA,1812.78,113.22,82.52,75.51,3,2.4,0.91,5.94,75.32,96.49,71.83,56.93,32409,0,1069,381,54.37,67.06,0.493796004,48.15,0.12,23481,33.69,40.19,91.53,65.78,12.22,7490,200706,412359,613065
10,10,Riau Islands,-0.142639,104.601,1.91,82,1860.85,108.99,91.06,81.36,17,1.29,0.38,4.62,68.39,98.22,83.36,70.52,36083,0,750,416,61.87,47.19,0.221698113,48.84,0.18,1403,23.36,48.18,98.56,81.57,17.4,405,332908,491819,824727
