,Marker,province,Latitude,Longitude,Average Length Of Stay,Average Price per Unit of Housing Construction,Average Daily Consumption of Calorie per Capita,Gross Enrollment Ratio for Elementary Schools,Gross Enrollment Ratio for Middle Schools ,Gross Enrollment Ratio for High Schools ,Harvested Area of Soybeans (in Hectares),Illiteracy Rate_Under15,Illiteracy Rate_15to44,Illiteracy Rate_Over45,Democracy Index,Net Enrollment Ratio for Elementary Schools ,Net Enrollment Ratio for Middle Schools ,Net Enrollment Ratio for High Schools ,Number of Civil Servants per Province,Ratio of Females on Regional Council,Number of Skilled Workers in Construction,Number of Villages,Ratio of Households With Working Female Head,Ratio of Married Women Using Contraception ,Ratio of  Poor People in Rural Areas,Ratio of Female Population ,Poverty Severity Index,Production of Paddy By Province (in tons),Production of Maize By Province (in tons),Room Occupancy Rate in Hotels,School Participation Rate Ages 13 to 15,School Participation Rate Ages 16 to 18,School Participation Rate Ages 19 to 24,Wetland Area By Province (in hectares),Megawati Soekarno Votes,Susilo Bambang Votes,Muhammad Jusuf Votes,Winner
1,1,Aceh,4.41533,96.9956,3.03,80,2010.37,111.77,88.65,82.84,45110,3.61,0.88,10.79,66.29,96.95,77.4,62.12,163388,0,7237,6424,60.65,49.08,0.655790348,51.27,1.34,1556858,34.67,51.18,94.31,72.74,22.82,359751,53835,2093567,97717,2009-Susilo Bambang Yudhoyono-Boediono
2,2,North Sumatra,2.36304,99.2161,1.94,58,1921.7,112.89,89.74,73.36,11494,2.85,0.61,7.8,60.2,94.46,74.21,55.3,245214,0.25,10379,5742,68.76,49.71,0.458942607,50.64,0.5,3527899,47.08,42.06,91.43,66.34,14.68,464256,1395532,4234116,303684,2009-Susilo Bambang Yudhoyono-Boediono
3,3,West Sumatra,-0.642611,100.611,2.46,56,2082.73,110.31,81.13,74.37,1882,3.19,0.69,7.68,60.29,94.75,67.61,54.5,139409,0.25,7273,1010,59.74,50.57,0.592365835,51.02,0.32,2105790,57.11,47.27,88.79,65.25,20.58,228176,134662,1828155,324336,2009-Susilo Bambang Yudhoyono-Boediono
4,4,Riau,0.396892,101.745,4.74,55,1932.54,110.76,85.24,72.46,4906,1.89,0.38,6.4,75.85,95.52,70.57,51.78,102084,0.5,9223,1637,62.1,56.53,0.525483029,48.61,0.25,531429,22.59,47.07,91.58,63.92,13.14,122738,555564,1502684,287067,2009-Susilo Bambang Yudhoyono-Boediono
5,5,Jambi,-1.65497,102.823,3.9,60,1904.06,112.34,79.63,61.51,7238,4.49,0.78,13.66,71,95.05,66.42,44.71,80890,0.5,4234,1371,66.3,66.72,0.469705569,49.82,0.36,644947,37.75,48.38,85.1,55.13,11.83,117336,455239,927038,178223,2009-Susilo Bambang Yudhoyono-Boediono
6,6,South Sumatra,-3.3824,104.073,2.64,57,1991.76,115.75,80.78,61.27,9168,2.79,0.51,8.27,72.52,93.61,65.86,43.01,137843,0.5,6619,3154,68.85,64.63,0.523990089,50.06,0.86,3125236,35.71,48.51,84.65,54.12,11.61,611072,1518648,2075451,244245,2009-Susilo Bambang Yudhoyono-Boediono
7,7,Bengkulu,-3.48606,102.368,2.88,57,1982.19,110.46,84.45,67.25,5605,5.1,1.03,14.95,64.76,94.98,69.84,48.99,62951,0.25,2244,1444,68.71,68.46,0.557285483,49.22,0.77,510160,33.26,37.44,87.47,58.8,15.97,89614,197566,545327,107338,2009-Susilo Bambang Yudhoyono-Boediono
8,8,Lampung,-4.919,105.059,1.98,66,1945.76,109.09,82.74,60.62,13518,5.63,0.68,16.13,67.47,94.79,69.17,41.43,129249,0,5175,2404,61.51,67.81,0.727550099,49.33,1.12,2673844,47.58,51.67,85.92,50.44,8.97,349144,963228,2803691,225426,2009-Susilo Bambang Yudhoyono-Boediono
9,9,Bangka-Belitung,-2.95817,106.819,1.78,NA,1800.29,113.79,71.26,58.56,1,4.59,0.86,13.25,67.01,92.52,53.1,38.13,27909,0.25,1526,360,48.19,66.16,0.503154574,49.26,0.31,19864,30.63,43.37,79.98,46.7,8.25,5017,211984,267914,69796,2009-Susilo Bambang Yudhoyono-Boediono
10,10,Riau Islands,-0.142639,104.601,1.67,60,2079.02,113.44,92.15,70.75,2,3.92,0.94,12.53,73.61,93.92,72.53,53.42,32153,0.25,2422,353,50.63,55.54,0.442250674,48.73,0.77,430,21.2,46.55,91.26,64.62,7.07,238,198364,481795,68417,2009-Susilo Bambang Yudhoyono-Boediono
11,11,Jakarta,-6.22462,106.837,2.98,119,1896.4,108.7,87.65,68.38,NA,1.06,0.28,3.07,73.91,94.07,72.02,50.43,296931,0,24543,267,56.35,56.62,NA,50.95,0.14,11013,20,50.69,90.75,61.53,17.23,1215,1028227,3543472,464257,2009-Susilo Bambang Yudhoyono-Boediono
12,12,West Java,-6.90763,107.638,2.39,88,1962.59,107.69,80.49,51.75,41775,4.02,0.54,11.25,71.07,94.56,67.91,38.59,482824,0.25,22291,5879,50.42,63.67,0.449293684,50.04,0.5,11322681,57.61,41.4,81.85,47.06,10.01,937373,5793987,14385202,1925533,2009-Susilo Bambang Yudhoyono-Boediono
